year,value
2010,8.9
2011,13.9
2012,14.8
2013,14.3
2014,14.7
2015,14.2
2016,17.3
2017,22.6
2018,23.4
2019,29.9
2020,27.2
2021,19.4
2022,35.1
2023,23.6
2024,17.5
