year,value
2010,126.9
2011,192
2012,225.7
2013,265.6
2014,254.2
2015,218.4
2016,234.7
2017,280.5
2018,281.6
2019,279.8
2020,308.5
2021,311.7
2022,269.9
2023,204.4
2024,191.8
