year,value
2010,75.1
2011,72
2012,81.2
2013,64
2014,60.9
2015,51.7
2016,54.7
2017,57.6
2018,55.3
2019,45
2020,48.5
2021,49.7
2022,48.3
2023,54.2
2024,63.6
