year,value
2010,17.9
2011,19.9
2012,21.9
2013,27
2014,31.3
2015,27.8
2016,27.9
2017,31
2018,30.6
2019,31.1
2020,27.4
2021,33.1
2022,33.7
2023,34.3
2024,32
