year,value
2010,9.9
2011,15
2012,17.9
2013,17.9
2014,17.1
2015,17.8
2016,19.4
2017,22.6
2018,22.1
2019,19.8
2020,28.6
2021,21.8
2022,31.5
2023,17.7
2024,22.8
