year,value
2010,33
2011,41.8
2012,43.8
2013,56.8
2014,53.5
2015,56.2
2016,60.7
2017,71.4
2018,74.2
2019,78.2
2020,106.6
2021,74.1
2022,93
2023,93.2
2024,96.3
