year,value
2010,13
2011,11.5
2012,14.9
2013,12.6
2014,13.4
2015,14.5
2016,12.4
2017,19.4
2018,23.2
2019,19.7
2020,36.5
2021,16.1
2022,27.5
2023,23.9
2024,26.3
