year,value
2010,7.1
2011,9.7
2012,11.3
2013,10.5
2014,12.8
2015,12.2
2016,13
2017,17.8
2018,23.3
2019,25.4
2020,27.5
2021,19.4
2022,33.3
2023,22.2
2024,23.2
