year,value
2010,15.8
2011,19.6
2012,20.5
2013,20.8
2014,20.6
2015,21.8
2016,21.7
2017,21.7
2018,21.2
2019,21.2
2020,21.3
2021,22.8
2022,23.4
2023,23.8
2024,null
