year,value
2010,10.8
2011,15.3
2012,17.5
2013,16.6
2014,17.7
2015,16.6
2016,18.4
2017,25.1
2018,28
2019,28.1
2020,28.9
2021,22.4
2022,33.5
2023,21.6
2024,22.8
