year,value
2010,58.7
2011,66
2012,64.1
2013,71.2
2014,64.1
2015,58.5
2016,66.2
2017,79.5
2018,90.2
2019,79.3
2020,105.8
2021,82.7
2022,110.6
2023,94.7
2024,110.5
