year,value
2010,62.5
2011,88
2012,93.3
2013,82.1
2014,126.6
2015,148
2016,107.1
2017,110.8
2018,76
2019,68.2
2020,64.9
2021,48.3
2022,62.4
2023,79.8
2024,108
