year,value
2010,464.2
2011,452.2
2012,417.5
2013,395.6
2014,355.6
2015,376.5
2016,421.4
2017,352.5
2018,598
2019,578.2
2020,578.4
2021,571.2
2022,532.1
2023,438.2
2024,441.6
