crop,window,base_model,base_mae,base_rmse,base_mape,climate_model,climate_mae,climate_rmse,climate_mape,delta_mae
Пшениця,2022_2024,elasticnet,0.5392379021371627,0.5392379021371627,11.217443367241735,lightgbm,0.7935951411644581,0.7935951411644581,16.48690119173022,0.25435723902729535
Кукурудза,2022_2024,lightgbm,0.6919988398727179,0.6919988398727179,10.712269494784644,elasticnet,0.5151582035815272,0.5151582035815272,7.144109809138468,-0.17684063629119073
Соняшник,2022_2024,lightgbm,0.04133337195435294,0.04133337195435294,1.6143304385994763,elasticnet,0.1250671550671553,0.1250671550671553,4.652901044788378,0.08373378311280236
