region_slug,region_label,crop,model,scenario,lag_config,feature_group,full_mae,ablated_mae,delta_mae,n
vinnytsia,Vinnytsia,Соняшник,lightgbm,lag_only,L1,organics,0.3997118494328034,0.3840752386145039,-0.015636610818299534,3
vinnytsia,Vinnytsia,Соняшник,lightgbm,lag_only,L1,irrigation,0.3997118494328034,0.44806612686220104,0.04835427742939763,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,yield_history,0.4852663930257159,0.8632723744710283,0.37800598144531244,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,area,0.4852663930257159,0.5809237416585283,0.09565734863281244,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,fertiliser_n,0.4852663930257159,0.5824521636962888,0.09718577067057294,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,fertiliser_p,0.4852663930257159,0.5075338935852048,0.02226750055948895,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,fertiliser_k,0.4852663930257159,0.5816048240661619,0.09633843104044598,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,mineral_share,0.4852663930257159,0.35912190119425436,-0.12614449183146154,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,organics,0.4852663930257159,0.616327152252197,0.13106075922648114,3
cherkasy,Cherkasy,Кукурудза,xgboost,lag_only,L1,irrigation,0.4852663930257159,0.5334136708577472,0.048147277832031266,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,yield_history,0.4206270459751173,0.5157996775739054,0.09517263159878814,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,area,0.4206270459751173,0.4465498471689866,0.025922801193869305,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,fertiliser_n,0.4206270459751173,0.3760857448083647,-0.04454130116675259,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,fertiliser_p,0.4206270459751173,0.4181357555216844,-0.0024912904534328817,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,fertiliser_k,0.4206270459751173,0.41149570895879933,-0.009131337016317964,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,mineral_share,0.4206270459751173,0.4117392087096918,-0.008887837265425524,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,organics,0.4206270459751173,0.5442623419982947,0.12363529602317741,3
cherkasy,Cherkasy,Пшениця,lightgbm,lag_only,L1,irrigation,0.4206270459751173,0.6280661570409943,0.20743911106587704,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,yield_history,0.10777784891867596,0.10453765518797435,-0.0032401937307016127,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,area,0.10777784891867596,0.10777784875608261,-1.6259335544610565e-10,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,fertiliser_n,0.10777784891867596,0.10777784799052921,-9.281467538979626e-10,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,fertiliser_p,0.10777784891867596,0.10777783877594634,-1.0142729628404012e-08,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,fertiliser_k,0.10777784891867596,0.1077778075562447,-4.1362431257851995e-08,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,mineral_share,0.10777784891867596,0.1220130441021241,0.014235195183448138,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,organics,0.10777784891867596,0.10777784891867596,0.0,3
cherkasy,Cherkasy,Соняшник,elasticnet,lag_only,L1,irrigation,0.10777784891867596,0.14774146409428823,0.03996361517561227,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,yield_history,0.5510105677200992,0.6173893882220775,0.0663788205019783,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,area,0.5510105677200992,0.5510105161334838,-5.158661531279307e-08,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,fertiliser_n,0.5510105677200992,0.5292469600138446,-0.021763607706254517,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,fertiliser_p,0.5510105677200992,0.5938663327542608,0.042855765034161664,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,fertiliser_k,0.5510105677200992,0.6067492851265683,0.055738717406469185,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,mineral_share,0.5510105677200992,0.5510105677200992,0.0,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,organics,0.5510105677200992,0.561810148912636,0.010799581192536878,3
ukraine,Ukraine,Кукурудза,elasticnet,lag_only,L1,irrigation,0.5510105677200992,0.5314779477175898,-0.019532620002509327,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,yield_history,0.5514741959908761,0.5486312643915069,-0.002842931599369214,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,area,0.5514741959908761,0.5514874489651435,1.3252974267352613e-05,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,fertiliser_n,0.5514741959908761,0.6174583827310623,0.06598418674018625,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,fertiliser_p,0.5514741959908761,0.46256842211772514,-0.08890577387315096,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,fertiliser_k,0.5514741959908761,0.5258391249264124,-0.02563507106446372,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,mineral_share,0.5514741959908761,0.4903123459469156,-0.06116185004396052,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,organics,0.5514741959908761,0.9148259072108296,0.36335171121995347,3
ukraine,Ukraine,Пшениця,elasticnet,lag_only,L1,irrigation,0.5514741959908761,0.3759783420188203,-0.1754958539720558,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,yield_history,0.26101198832194017,0.25924196879069017,-0.00177001953125,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,area,0.26101198832194017,0.2569107913970948,-0.004101196924845396,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,fertiliser_n,0.26101198832194017,0.3098160330454509,0.04880404472351074,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,fertiliser_p,0.26101198832194017,0.24324595451354977,-0.017766033808390397,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,fertiliser_k,0.26101198832194017,0.25020094235738116,-0.010811045964559007,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,mineral_share,0.26101198832194017,0.22339005788167313,-0.03762193044026704,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,organics,0.26101198832194017,0.2573899777730306,-0.0036220105489095933,3
ukraine,Ukraine,Соняшник,xgboost,lag_only,L1,irrigation,0.26101198832194017,0.23704599380493172,-0.023965994517008454,3
