factor,pearson_yield,pearson_yield_p,spearman_yield,spearman_yield_p,pearson_anom,pearson_anom_p,spearman_anom,spearman_anom_p
Area_ha_lag1,-0.045604243187977275,0.9072566623721912,-0.19999999999999998,0.6059012741795533,0.3227057475487582,0.3970008975829844,0.18333333333333335,0.6368198117628943
Irrig_mm_lag1,0.020617750747183056,0.9580127391988332,-0.08333333333333334,0.831214097710308,-0.4166255614061328,0.26463803571364247,-0.5,0.1704706607870538
K_kg_ha_lag1,-0.30370849228663643,0.4268955908397221,-0.16666666666666669,0.668231040071504,-0.05432602582454546,0.8895997579235108,-0.18333333333333335,0.6368198117628943
Mineral_treated_share_lag1,-0.6325801309201557,0.06751253513481481,-0.7666666666666667,0.01594401657897401,-0.2453011963170396,0.524660963936923,-0.45,0.22421610749233667
N_kg_ha_lag1,-0.255679078612795,0.5066815889587631,-0.26666666666666666,0.4879222748387009,-0.3682199918245551,0.3295378167899512,-0.5333333333333333,0.13922686754397814
Org_kg_ha_or_share_lag1,-0.111558285834947,0.7750791175910675,-0.08333333333333334,0.831214097710308,0.15659205635545315,0.6874402184271572,0.0,1.0
P2O5_kg_ha_lag1,-0.18337262963900963,0.6367463174811347,-0.16666666666666669,0.668231040071504,-0.056338773446794804,0.8855307382532691,-0.2833333333333333,0.46003032896571994
