baseline,crop,mae,rmse,mape
arima,Кукурудза,1.2362773921241554,1.2362773921241554,17.05353380092264
arima,Пшениця,0.632806276794439,0.632806276794439,13.57760872797427
arima,Соняшник,0.16869053444051696,0.16869053444051696,6.490717860041053
forecast_linear,Кукурудза,0.8594327894327997,0.8594327894327997,13.810830405807499
forecast_linear,Пшениця,0.4899739149739135,0.4899739149739135,11.2750706664189
forecast_linear,Соняшник,0.24439671439671073,0.24439671439671073,9.683250094466537
linest_lag_only,Кукурудза,1.2718818682693187,1.2718818682693187,17.121098676553792
linest_lag_only,Пшениця,1.8124872301562487,1.8124872301562487,36.55594392964616
linest_lag_only,Соняшник,0.1895115307619326,0.1895115307619326,7.516324463908963
naive_lag1,Кукурудза,1.026666666666667,1.026666666666667,16.567707954953267
naive_lag1,Пшениця,0.6666666666666666,0.6666666666666666,14.32251936157199
naive_lag1,Соняшник,0.19666666666666677,0.19666666666666677,7.450330461043097
