factor,pearson_yield,pearson_yield_p,spearman_yield,spearman_yield_p,pearson_anom,pearson_anom_p,spearman_anom,spearman_anom_p
Area_ha_lag1,-0.17479007457919304,0.6528620565978028,-0.12552411131335847,0.747618228942804,-0.37028973467630405,0.32661506615650454,-0.2333333333333333,0.5456987782182727
Irrig_mm_lag1,0.3218077582344397,0.39839166241040364,0.17573375583870182,0.6510838503222888,0.1253907474858747,0.7478793507955747,0.2833333333333333,0.46003032896571994
K_kg_ha_lag1,0.4327318936379413,0.24468148628872072,0.4915966386554622,0.17892688085506633,0.3555087581089044,0.3477694557605035,0.4602550748156477,0.21252229468836073
Mineral_treated_share_lag1,0.40343709632131447,0.2815955108248331,0.2677847708018314,0.4860296141888535,0.44976381419522976,0.22448948028522483,0.39999999999999997,0.2861051019083128
N_kg_ha_lag1,0.41618081684870645,0.2652008825769319,0.34309923758984645,0.36602924302380385,0.3061830464993649,0.4229459778886253,0.39999999999999997,0.2861051019083128
Org_kg_ha_or_share_lag1,0.04209326231086152,0.9143748246650056,0.21757512627648798,0.5738746583219767,0.03245122423767305,0.9339488965940689,0.35,0.35581957250178897
P2O5_kg_ha_lag1,0.5742686742911247,0.10584504769904689,0.596638655462185,0.08988437500408956,0.539740773464925,0.13364073921726194,0.6694619270045785,0.04856819494488676
