year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2021,Пшениця,xgboost,in_season,L1,validation,1.0808245086669919,1.0808245086669919,20.052402758200223,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2022,Пшениця,xgboost,in_season,L1,test,0.3130739784240726,0.3130739784240726,6.747284017760186,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2023,Пшениця,xgboost,in_season,L1,test,1.011564655303955,1.011564655303955,17.840646478023896,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2024,Пшениця,xgboost,in_season,L1,test,0.7310252380371098,0.7310252380371098,12.66941487066048,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2019,Пшениця,lightgbm,in_season,L1,validation,1.5880350646469723,1.5880350646469723,29.19182104130464,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Пшениця,lightgbm,in_season,L1,validation,0.9535390815511358,0.9535390815511358,21.92043865634795,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Пшениця,lightgbm,in_season,L1,validation,0.5277796017039931,0.5277796017039931,9.791829345157572,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Пшениця,lightgbm,in_season,L1,test,0.6743527541309584,0.6743527541309584,14.533464528684451,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Пшениця,lightgbm,in_season,L1,test,0.5117850090849867,0.5117850090849867,9.02619063641952,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Пшениця,lightgbm,in_season,L1,test,1.4838428963960286,1.4838428963960286,25.71651466890864,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Кукурудза,elasticnet,lag_only,L1,validation,0.5926717101605421,0.5926717101605421,7.667163132736639,17,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2020,Кукурудза,elasticnet,lag_only,L1,validation,3.6309999999999993,3.6309999999999993,97.87061994609164,17,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2021,Кукурудза,elasticnet,lag_only,L1,validation,2.01243441304156,2.01243441304156,22.48530070437497,17,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2022,Кукурудза,elasticnet,lag_only,L1,test,0.46407944763805364,0.46407944763805364,6.999690009623735,17,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
