baseline,crop,mae,rmse,mape
arima,Кукурудза,0.8153649340021906,0.8153649340021906,10.527818787253972
arima,Пшениця,0.5999309499161279,0.5999309499161279,10.972638237963006
arima,Соняшник,0.1429213750791448,0.1429213750791448,5.216968267415695
forecast_linear,Кукурудза,0.9537179487179465,0.9537179487179465,12.683618914254104
forecast_linear,Пшениця,0.5053890553890467,0.5053890553890467,9.702786283453378
forecast_linear,Соняшник,0.30517649017649146,0.30517649017649146,11.098578913298766
linest_lag_only,Кукурудза,8.08391223595151,8.08391223595151,102.51218195452145
linest_lag_only,Пшениця,2.241686251366771,2.241686251366771,41.95529855998054
linest_lag_only,Соняшник,0.4027955653021242,0.4027955653021242,14.245081741403679
naive_lag1,Кукурудза,2.053333333333333,2.053333333333333,28.951974136741068
naive_lag1,Пшениця,0.6266666666666669,0.6266666666666669,12.020893396310905
naive_lag1,Соняшник,0.2866666666666668,0.2866666666666668,10.373903619952793
