scenario,model,crop,lag_config,mae,rmse,mape,n
in_season,elasticnet,Кукурудза,L1,0.8228057748804373,0.8228057748804373,10.907734439336997,3
in_season,elasticnet,Пшениця,L1,0.6872405372405378,0.6872405372405378,12.057098717461315,3
in_season,elasticnet,Соняшник,L1,0.47589463062911763,0.47589463062911763,16.81173950152173,3
in_season,lightgbm,Кукурудза,L1,1.0297891813787696,1.0297891813787696,15.434138434111139,3
in_season,lightgbm,Пшениця,L1,0.8899935532039912,0.8899935532039912,16.425389944670872,3
in_season,lightgbm,Соняшник,L1,0.05667096270454438,0.05667096270454438,2.0160257305217613,3
in_season,xgboost,Кукурудза,L1,0.7042752329508462,0.7042752329508462,9.21443222208889,3
in_season,xgboost,Пшениця,L1,0.6852212905883791,0.6852212905883791,12.419115122148186,3
in_season,xgboost,Соняшник,L1,0.09713540712992359,0.09713540712992359,3.4271147137242344,3
lag_only,elasticnet,Кукурудза,L1,0.8228057748804373,0.8228057748804373,10.907734439336997,3
lag_only,elasticnet,Пшениця,L1,0.6257312774592378,0.6257312774592378,11.015821075613195,3
lag_only,elasticnet,Соняшник,L1,0.10777784891867581,0.10777784891867581,3.8804293950505957,3
lag_only,lightgbm,Кукурудза,L1,1.270790815606246,1.270790815606246,18.404526308686467,3
lag_only,lightgbm,Пшениця,L1,0.4206270459751173,0.4206270459751173,8.201738585696704,3
lag_only,lightgbm,Соняшник,L1,0.17694588284020987,0.17694588284020987,6.264841198097588,3
lag_only,xgboost,Кукурудза,L1,0.4852663930257159,0.4852663930257159,6.406792351843596,3
lag_only,xgboost,Пшениця,L1,0.4223069508870445,0.4223069508870445,7.886236571635645,3
lag_only,xgboost,Соняшник,L1,0.13746610005696613,0.13746610005696613,4.9872955279156805,3
