crop,crop_en,recommended_type,recommended_method,recommended_mae,best_ml_model,best_ml_mae,best_baseline,best_baseline_method,best_baseline_mae,ml_gain_vs_baseline,practical_margin,test_coverage,warning_label,best_baseline_raw,best_ml_model_raw,model,top_feature_group,top_feature_group_delta_mae,mean_empirical_band_width,interpretation
Кукурудза,maize,machine_learning,LightGBM,0.6919988398727179,LightGBM,0.6919988398727179,FORECAST.LINEAR,FORECAST.LINEAR,0.8594327894327997,0.16743394956008173,0.05,0.3333333333333333,outside validation error scale,forecast_linear,lightgbm,lightgbm,mineral-treated share,0.8909322619056799,1.0540674556270255,"For maize, ML improves MAE, but the test errors fall outside the small validation-residual scale too often. Use the forecast with caution; the strongest diagnostic group is mineral-treated share."
Соняшник,sunflower,machine_learning,LightGBM,0.04133337195435294,LightGBM,0.04133337195435294,ARIMA,ARIMA,0.16869053444051696,0.12735716248616402,0.05,1.0,within expected error,arima,lightgbm,lightgbm,phosphorus fertiliser,0.13084013230545613,0.9237521323537999,"For sunflower, ML clears the baseline-first rule and the test errors are mostly within the empirical validation-residual band. The strongest diagnostic group is phosphorus fertiliser."
Пшениця,wheat,baseline,FORECAST.LINEAR,0.4899739149739135,ElasticNet,0.5392379021371627,FORECAST.LINEAR,FORECAST.LINEAR,0.4899739149739135,-0.0492639871632492,0.05,0.6666666666666666,baseline safer,forecast_linear,elasticnet,elasticnet,mineral-treated share,0.1468395696949205,1.2050172429488115,"For wheat, the transparent baseline is recommended because the selected ML model does not clear the practical improvement margin. Treat this crop as the negative/control case."
