crop,model,scenario,lag_config,feature_group,full_mae,ablated_mae,delta_mae,n
Кукурудза,lightgbm,lag_only,L1,yield_history,0.6919988398727179,0.6860221612181668,-0.005976678654551093,3
Кукурудза,lightgbm,lag_only,L1,area,0.6919988398727179,0.6453429014057089,-0.046655938467008995,3
Кукурудза,lightgbm,lag_only,L1,fertiliser_n,0.6919988398727179,0.7605390052701623,0.06854016539744434,3
Кукурудза,lightgbm,lag_only,L1,fertiliser_p,0.6919988398727179,0.7304733361880574,0.0384744963153395,3
Кукурудза,lightgbm,lag_only,L1,fertiliser_k,0.6919988398727179,0.7168836355786112,0.024884795705893303,3
Кукурудза,lightgbm,lag_only,L1,mineral_share,0.6919988398727179,1.5829311017783978,0.8909322619056799,3
Кукурудза,lightgbm,lag_only,L1,organics,0.6919988398727179,0.6507863079857247,-0.04121253188699325,3
Кукурудза,lightgbm,lag_only,L1,irrigation,0.6919988398727179,0.8584106874939202,0.1664118476212023,3
Пшениця,elasticnet,lag_only,L1,yield_history,0.5392379021371628,0.5122201081678018,-0.027017793969360993,3
Пшениця,elasticnet,lag_only,L1,area,0.5392379021371628,0.6552426633481528,0.11600476121099002,3
Пшениця,elasticnet,lag_only,L1,fertiliser_n,0.5392379021371628,0.4913086978287791,-0.04792920430838371,3
Пшениця,elasticnet,lag_only,L1,fertiliser_p,0.5392379021371628,0.5606990525317884,0.021461150394625594,3
Пшениця,elasticnet,lag_only,L1,fertiliser_k,0.5392379021371628,0.5191970249365655,-0.02004087720059733,3
Пшениця,elasticnet,lag_only,L1,mineral_share,0.5392379021371628,0.6860774718320833,0.1468395696949205,3
Пшениця,elasticnet,lag_only,L1,organics,0.5392379021371628,0.5407661258230547,0.001528223685891894,3
Пшениця,elasticnet,lag_only,L1,irrigation,0.5392379021371628,0.6073788508992238,0.068140948762061,3
Соняшник,lightgbm,lag_only,L1,yield_history,0.04133337195435294,0.05031528404737232,0.008981912093019385,3
Соняшник,lightgbm,lag_only,L1,area,0.04133337195435294,0.13047581618822926,0.08914244423387632,3
Соняшник,lightgbm,lag_only,L1,fertiliser_n,0.04133337195435294,0.03240059762665792,-0.008932774327695014,3
Соняшник,lightgbm,lag_only,L1,fertiliser_p,0.04133337195435294,0.17217350425980907,0.13084013230545613,3
Соняшник,lightgbm,lag_only,L1,fertiliser_k,0.04133337195435294,0.09063609847638388,0.04930272652203094,3
Соняшник,lightgbm,lag_only,L1,mineral_share,0.04133337195435294,0.022896783773884266,-0.01843658818046867,3
Соняшник,lightgbm,lag_only,L1,organics,0.04133337195435294,0.07404743210206825,0.032714060147715315,3
Соняшник,lightgbm,lag_only,L1,irrigation,0.04133337195435294,0.04517007912272838,0.0038367071683754403,3
