year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2024,Пшениця,xgboost,in_season,L1,test,0.22639131546020508,0.22639131546020508,4.766132957056949,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2019,Пшениця,lightgbm,in_season,L1,validation,0.7457371857604453,0.7457371857604453,15.536191370009277,39,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Пшениця,lightgbm,in_season,L1,validation,0.1006965826322066,0.1006965826322066,2.247691576611755,41,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Пшениця,lightgbm,in_season,L1,validation,0.397406549675444,0.397406549675444,8.22787887526799,41,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Пшениця,lightgbm,in_season,L1,test,0.6872059386894653,0.6872059386894653,16.63936897553185,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Пшениця,lightgbm,in_season,L1,test,1.5849600239369397,1.5849600239369397,31.138703810155988,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Пшениця,lightgbm,in_season,L1,test,0.17077321790371336,0.17077321790371336,3.5952256400781755,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Кукурудза,elasticnet,lag_only,L1,validation,0.23525414358504904,0.23525414358504904,3.370403203224198,15,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2020,Кукурудза,elasticnet,lag_only,L1,validation,1.1920222680978902,1.1920222680978902,21.752231169669532,15,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2021,Кукурудза,elasticnet,lag_only,L1,validation,0.11655599545415996,0.11655599545415996,1.7165831436547856,15,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2022,Кукурудза,elasticnet,lag_only,L1,test,0.9823621968515637,0.9823621968515637,13.56853863054646,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2023,Кукурудза,elasticnet,lag_only,L1,test,1.2100540116939467,1.2100540116939467,15.533427621231663,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2024,Кукурудза,elasticnet,lag_only,L1,test,1.435735624072426,1.435735624072426,25.144231594963678,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2019,Кукурудза,xgboost,lag_only,L1,validation,0.06345317840576126,0.06345317840576126,0.9090713238647746,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2020,Кукурудза,xgboost,lag_only,L1,validation,0.746610660552979,0.746610660552979,13.62428212687918,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2021,Кукурудза,xgboost,lag_only,L1,validation,1.076199016571044,1.076199016571044,15.849764603402708,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2022,Кукурудза,xgboost,lag_only,L1,test,0.6263577842712404,0.6263577842712404,8.651350611481222,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2023,Кукурудза,xgboost,lag_only,L1,test,1.293000259399415,1.293000259399415,16.598206154036134,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2024,Кукурудза,xgboost,lag_only,L1,test,1.2651505851745606,1.2651505851745606,22.156752805158682,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2019,Кукурудза,lightgbm,lag_only,L1,validation,0.6482265121800204,0.6482265121800204,9.286912781948716,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Кукурудза,lightgbm,lag_only,L1,validation,0.3452445512637512,0.3452445512637512,6.300083052258235,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Кукурудза,lightgbm,lag_only,L1,validation,0.29414868628267765,0.29414868628267765,4.332086690466533,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Кукурудза,lightgbm,lag_only,L1,test,0.13923433275272235,0.13923433275272235,1.9231261429934026,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Кукурудза,lightgbm,lag_only,L1,test,0.792336349568977,0.792336349568977,10.171198325660807,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Кукурудза,lightgbm,lag_only,L1,test,1.1444258372964544,1.1444258372964544,20.042484015699728,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Кукурудза,elasticnet,in_season,L1,validation,0.31923972851187443,0.31923972851187443,4.573635078966682,39,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
2020,Кукурудза,elasticnet,in_season,L1,validation,1.2488650220371458,1.2488650220371458,22.78950770140777,41,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
2021,Кукурудза,elasticnet,in_season,L1,validation,0.2759010790516072,0.2759010790516072,4.063344315929413,41,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
2022,Кукурудза,elasticnet,in_season,L1,test,0.8449630440447988,0.8449630440447988,11.670760276861863,43,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
2023,Кукурудза,elasticnet,in_season,L1,test,1.3334743205700352,1.3334743205700352,17.11777048228543,43,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
2024,Кукурудза,elasticnet,in_season,L1,test,1.0349261076462337,1.0349261076462337,18.12480048417222,43,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
2019,Кукурудза,xgboost,in_season,L1,validation,0.07776500701904343,0.07776500701904343,1.1141118484103645,39,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2020,Кукурудза,xgboost,in_season,L1,validation,1.2513647270202641,1.2513647270202641,22.835122755844235,41,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2021,Кукурудза,xgboost,in_season,L1,validation,0.1772131538391104,0.1772131538391104,2.6099139004287246,41,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2022,Кукурудза,xgboost,in_season,L1,test,0.24151205062866232,0.24151205062866232,3.3358018042632915,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2023,Кукурудза,xgboost,in_season,L1,test,1.89802984237671,1.89802984237671,24.36495304719781,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2024,Кукурудза,xgboost,in_season,L1,test,1.6109481239318848,1.6109481239318848,28.212751732607437,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2019,Кукурудза,lightgbm,in_season,L1,validation,0.7903731011350921,0.7903731011350921,11.3233968643996,39,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Кукурудза,lightgbm,in_season,L1,validation,1.2965274720452724,1.2965274720452724,23.659260438782344,41,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Кукурудза,lightgbm,in_season,L1,validation,0.3108387427743162,0.3108387427743162,4.577890173406718,41,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Кукурудза,lightgbm,in_season,L1,test,1.574357980092369,1.574357980092369,21.74527596812664,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Кукурудза,lightgbm,in_season,L1,test,2.617499384756841,2.617499384756841,33.60076232037022,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Кукурудза,lightgbm,in_season,L1,test,1.7692593280704942,1.7692593280704942,30.985277199132998,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Соняшник,elasticnet,lag_only,L1,validation,0.05895465858600746,0.05895465858600746,1.9456983031685626,15,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2020,Соняшник,elasticnet,lag_only,L1,validation,0.0565197966810671,0.0565197966810671,2.2251888457113034,15,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2021,Соняшник,elasticnet,lag_only,L1,validation,0.43555715695560293,0.43555715695560293,16.947749297883384,15,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2022,Соняшник,elasticnet,lag_only,L1,test,0.6378042975070901,0.6378042975070901,22.69766183299253,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2023,Соняшник,elasticnet,lag_only,L1,test,0.8044434222043009,0.8044434222043009,31.30130047487552,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2024,Соняшник,elasticnet,lag_only,L1,test,0.06324347902493521,0.06324347902493521,2.570873131094927,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2019,Соняшник,xgboost,lag_only,L1,validation,0.5311944770812991,0.5311944770812991,17.531170860768945,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2020,Соняшник,xgboost,lag_only,L1,validation,0.3199410057067871,0.3199410057067871,12.596102586881381,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2021,Соняшник,xgboost,lag_only,L1,validation,0.17378490447998063,0.17378490447998063,6.762058540077068,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2022,Соняшник,xgboost,lag_only,L1,test,0.11263733863830572,0.11263733863830572,4.008446214886324,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2023,Соняшник,xgboost,lag_only,L1,test,0.10776560783386246,0.10776560783386246,4.193214312601653,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2024,Соняшник,xgboost,lag_only,L1,test,0.047240056991577184,0.047240056991577184,1.9203275199828125,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2019,Соняшник,lightgbm,lag_only,L1,validation,0.4534287110686539,0.4534287110686539,14.964643929658545,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Соняшник,lightgbm,lag_only,L1,validation,0.467507636249064,0.467507636249064,18.40581245075055,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
