crop,crop_en,recommended_type,recommended_method,recommended_mae,best_ml_model,best_ml_mae,best_baseline,best_baseline_method,best_baseline_mae,ml_gain_vs_baseline,practical_margin,test_coverage,warning_label,best_baseline_raw,best_ml_model_raw,model
Кукурудза,maize,machine_learning,LightGBM,0.6919988398727179,LightGBM,0.6919988398727179,FORECAST.LINEAR,FORECAST.LINEAR,0.8594327894327997,0.16743394956008173,0.05,0.3333333333333333,outside validation error scale,forecast_linear,lightgbm,lightgbm
Соняшник,sunflower,machine_learning,LightGBM,0.04133337195435294,LightGBM,0.04133337195435294,ARIMA,ARIMA,0.16869053444051696,0.12735716248616402,0.05,1.0,within expected error,arima,lightgbm,lightgbm
Пшениця,wheat,baseline,FORECAST.LINEAR,0.4899739149739135,ElasticNet,0.5392379021371628,FORECAST.LINEAR,FORECAST.LINEAR,0.4899739149739135,-0.04926398716324931,0.05,0.6666666666666666,baseline safer,forecast_linear,elasticnet,elasticnet
