year,value
2010,448.8
2011,493.5
2012,548
2013,522.5
2014,430
2015,364.2
2016,390.2
2017,390.5
2018,328.1
2019,308.1
2020,313.9
2021,265.1
2022,196.7
2023,188.2
2024,191.3
