year,value
2010,12.3
2011,13.9
2012,19.6
2013,18
2014,19.9
2015,20
2016,21.3
2017,25.4
2018,58.9
2019,67.3
2020,83.2
2021,76.6
2022,67.2
2023,62.9
2024,93.8
