year,value
2010,129
2011,129.8
2012,150.9
2013,155.7
2014,154.4
2015,150.1
2016,164.1
2017,192.2
2018,123.5
2019,142.4
2020,138.6
2021,153.2
2022,104.5
2023,96.5
2024,140.7
