year,value
2010,63.7
2011,60.4
2012,45.6
2013,75.2
2014,75.8
2015,69
2016,78.1
2017,79.6
2018,78.7
2019,69.8
2020,72.7
2021,83
2022,64.5
2023,71.8
2024,71.8
