year,value
2010,20.6
2011,26.8
2012,29.7
2013,23.6
2014,24.7
2015,18.4
2016,19.1
2017,14.8
2018,12.1
2019,13.3
2020,14.1
2021,15.5
2022,12.6
2023,11.6
2024,11.8
