year,value
2010,26951.5
2011,27670.5
2012,27801.301
2013,28329.301
2014,27239.1
2015,26901.801
2016,27026
2017,27585.199
2018,27699.301
2019,28000.801
2020,28147.5
2021,28580.9
2022,23404.6
2023,22808.801
2024,null
