year,value
2010,14.8
2011,18.1
2012,20.9
2013,19.4
2014,25.1
2015,23.2
2016,24
2017,23.9
2018,21.4
2019,23.2
2020,25.6
2021,26.2
2022,24.6
2023,25.9
2024,26.3
