year,value
2010,862.5
2011,832.8
2012,547
2013,996.1
2014,865.3
2015,671.1
2016,449.3
2017,785.7
2018,1039.3
2019,1279.2
2020,1112.5
2021,1004.5
2022,1156.2
2023,1431.6
2024,1260.1
