year,value
2010,44.8
2011,50.6
2012,54
2013,55.8
2014,62.4
2015,60.9
2016,77.9
2017,85.4
2018,95
2019,96.4
2020,115.1
2021,116.1
2022,99
2023,94.6
2024,90.9
