year,value
2010,4.5
2011,5.8
2012,7.3
2013,6.9
2014,8.4
2015,8.6
2016,10.7
2017,12.5
2018,17.6
2019,15.7
2020,18
2021,18.2
2022,18.5
2023,14.5
2024,12.9
