year,value
2010,45.1
2011,64.4
2012,47.9
2013,64.1
2014,61.6
2015,57.1
2016,66
2017,55.1
2018,78.4
2019,71.9
2020,56.2
2021,76.8
2022,63.5
2023,78.1
2024,66
