year,value
2010,17.7
2011,18.3
2012,25.6
2013,24.3
2014,26.8
2015,24.3
2016,26.7
2017,35.4
2018,48.6
2019,60.3
2020,46.2
2021,52.2
2022,37.3
2023,33.6
2024,62.5
