year,value
2010,5.7
2011,7.4
2012,7.2
2013,9
2014,9.1
2015,9.6
2016,12.1
2017,15.5
2018,19.4
2019,17.5
2020,18.9
2021,20.7
2022,21.3
2023,12.7
2024,11.6
