year,value
2010,688.1
2011,747.1
2012,939.1
2013,926.5
2014,1298.5
2015,1463.6
2016,1279.5
2017,1397.9
2018,1136.3
2019,1025.3
2020,792
2021,741.5
2022,909.8
2023,979
2024,1453.4
