year,value
2010,467.8
2011,504.1
2012,502.8
2013,493.8
2014,463.8
2015,447.1
2016,447.1
2017,446.3
2018,440.3
2019,452.4
2020,464.9
2021,460.8
2022,374.9
2023,396.7
2024,null
