scenario,model,crop,lag_config,mae,rmse,mape,n
in_season,elasticnet,Кукурудза,L1,1.1352527670731065,1.1352527670731065,19.454360568782693,3
in_season,elasticnet,Пшениця,L1,0.8085439560439557,0.8085439560439557,16.09580148361114,3
in_season,elasticnet,Соняшник,L1,0.3028846153846156,0.3028846153846156,11.446848802577444,3
in_season,lightgbm,Кукурудза,L1,1.874416978267931,1.874416978267931,34.29831947760598,3
in_season,lightgbm,Пшениця,L1,1.0017557267200596,1.0017557267200596,21.087176895783255,3
in_season,lightgbm,Соняшник,L1,0.6688782135428353,0.6688782135428353,25.89475004321818,3
in_season,xgboost,Кукурудза,L1,1.5042926979064941,1.5042926979064941,27.686051845795934,3
in_season,xgboost,Пшениця,L1,0.8231161117553712,0.8231161117553712,17.39766028408373,3
in_season,xgboost,Соняшник,L1,0.5020839055379231,0.5020839055379231,20.014269771824278,3
lag_only,elasticnet,Кукурудза,L1,1.1428357753357756,1.1428357753357756,20.148471910028803,3
lag_only,elasticnet,Пшениця,L1,0.8954365647475667,0.8954365647475667,16.954680612286552,3
lag_only,elasticnet,Соняшник,L1,0.4559331196082666,0.4559331196082666,17.310638443543272,3
lag_only,lightgbm,Кукурудза,L1,0.7680940090851699,0.7680940090851699,11.468992130845805,3
lag_only,lightgbm,Пшениця,L1,0.9369153067384314,0.9369153067384314,20.137217170172516,3
lag_only,lightgbm,Соняшник,L1,0.3997118494328034,0.3997118494328034,16.701699224243264,3
lag_only,xgboost,Кукурудза,L1,0.5866868527730306,0.5866868527730306,10.981389076509323,3
lag_only,xgboost,Пшениця,L1,1.0895509401957195,1.0895509401957195,22.677886250686356,3
lag_only,xgboost,Соняшник,L1,0.4885233338673909,0.4885233338673909,18.570737631368043,3
