crop,crop_en,recommended_type,recommended_method,recommended_mae,best_ml_model,best_ml_mae,best_baseline,best_baseline_method,best_baseline_mae,ml_gain_vs_baseline,practical_margin,test_coverage,warning_label,best_baseline_raw,best_ml_model_raw,model,top_feature_group,top_feature_group_delta_mae,mean_empirical_band_width,interpretation
Кукурудза,maize,machine_learning,XGBoost,0.5866868527730306,XGBoost,0.5866868527730306,ARIMA,ARIMA,1.060912697008676,0.4742258442356454,0.05,1.0,within expected error,arima,xgboost,xgboost,yield history,0.5068896611531576,5.90196859741211,"For maize, ML clears the baseline-first rule and the test errors are mostly within the empirical validation-residual band. The strongest diagnostic group is yield history."
Соняшник,sunflower,machine_learning,LightGBM,0.3997118494328034,LightGBM,0.3997118494328034,ARIMA,ARIMA,0.4557452527632013,0.05603340333039791,0.05,0.6666666666666666,within expected error,arima,lightgbm,lightgbm,potassium fertiliser,0.08609222299003738,0.7971206312575161,"For sunflower, ML clears the baseline-first rule and the test errors are mostly within the empirical validation-residual band. The strongest diagnostic group is potassium fertiliser."
Пшениця,wheat,baseline,FORECAST.LINEAR,0.7240975690975736,ElasticNet,0.8954365647475667,FORECAST.LINEAR,FORECAST.LINEAR,0.7240975690975736,-0.1713389956499931,0.05,0.3333333333333333,baseline safer,forecast_linear,elasticnet,elasticnet,yield history,0.10762718017735573,1.7403014549908982,"For wheat, the transparent baseline is recommended because the selected ML model does not clear the practical improvement margin. Treat this crop as the negative/control case."
