year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape,order
2019,Пшениця,naive_lag1,lag_only,validation,5.5200000000000005,5.15,0.3700000000000001,0.3700000000000001,6.7028985507246395,
2019,Пшениця,forecast_linear,trend,validation,5.5200000000000005,5.765833333333319,0.24583333333331847,0.24583333333331847,4.453502415458668,
2019,Пшениця,linest_lag_only,lag_only,validation,5.5200000000000005,7.837141024745327,2.317141024745326,2.317141024745326,41.9771924772704,
2019,Пшениця,arima,trend,validation,5.5200000000000005,5.516085668669882,0.00391433133011887,0.00391433133011887,0.07091179945867516,"(2, 2, 0)"
2020,Пшениця,naive_lag1,lag_only,validation,4.2700000000000005,5.5200000000000005,1.25,1.25,29.274004683840747,
2020,Пшениця,forecast_linear,trend,validation,4.2700000000000005,5.891999999999996,1.6219999999999954,1.6219999999999954,37.98594847775165,
2020,Пшениця,linest_lag_only,lag_only,validation,4.2700000000000005,7.17848489802739,2.90848489802739,2.90848489802739,68.1144004221871,
2020,Пшениця,arima,trend,validation,4.2700000000000005,4.884522895664605,0.6145228956646047,0.6145228956646047,14.391636900810415,"(2, 2, 0)"
2021,Пшениця,naive_lag1,lag_only,validation,5.57,4.2700000000000005,1.2999999999999998,1.2999999999999998,23.339317773788146,
2021,Пшениця,forecast_linear,trend,validation,5.57,5.513272727272749,0.05672727272725098,0.05672727272725098,1.018442957401274,
2021,Пшениця,linest_lag_only,lag_only,validation,5.57,6.70663346517845,1.1366334651784493,1.1366334651784493,20.406345873939845,
2021,Пшениця,arima,trend,validation,5.57,5.099560548626346,0.4704394513736547,0.4704394513736547,8.44595065302791,"(2, 2, 0)"
2022,Пшениця,naive_lag1,lag_only,test,4.029999999999999,5.57,1.540000000000001,1.540000000000001,38.213399503722115,
2022,Пшениця,forecast_linear,trend,test,4.029999999999999,5.669545454545471,1.6395454545454715,1.6395454545454715,40.683510038349176,
2022,Пшениця,linest_lag_only,lag_only,test,4.029999999999999,2.799328343582411,1.2306716564175884,1.2306716564175884,30.5377582237615,
2022,Пшениця,arima,trend,test,4.029999999999999,4.415066192896121,0.38506619289612143,0.38506619289612143,9.554992379556365,"(2, 2, 0)"
