year,value
2010,72.3
2011,39.1
2012,61
2013,41.8
2014,38.6
2015,43
2016,45.5
2017,77.5
2018,90.6
2019,95.6
2020,68.1
2021,76.8
2022,88.6
2023,50.2
2024,89.4
