year,value
2010,17.6
2011,15.2
2012,17.9
2013,20.9
2014,19.6
2015,17.3
2016,20.4
2017,26.1
2018,26
2019,26.5
2020,21.9
2021,21.3
2022,20.4
2023,15.9
2024,15.5
