year,value
2010,41.3
2011,46.8
2012,49.9
2013,49.8
2014,46.4
2015,39.4
2016,40.7
2017,39.4
2018,34.3
2019,28.8
2020,39.4
2021,27.3
2022,26.7
2023,21
2024,20.1
