year,value
2010,58
2011,85.4
2012,67.1
2013,77.7
2014,125.4
2015,76.7
2016,77.2
2017,106.9
2018,112.4
2019,163.9
2020,112.7
2021,159.6
2022,153.3
2023,162
2024,318.2
