year,value
2010,159
2011,129.1
2012,161.4
2013,101.2
2014,102.9
2015,119.5
2016,125
2017,100
2018,100.1
2019,92.3
2020,100.6
2021,109.5
2022,141.5
2023,85.3
2024,109.9
