year,value
2010,88.1
2011,95.1
2012,107.7
2013,109.1
2014,101.5
2015,94
2016,115.6
2017,110.9
2018,121.4
2019,112.7
2020,116.1
2021,144.5
2022,153
2023,114.1
2024,129.6
