year,value
2010,60.7
2011,59.5
2012,56.9
2013,53.3
2014,50.3
2015,49.8
2016,51.1
2017,49.6
2018,48.4
2019,49.9
2020,50.4
2021,50.8
2022,52.3
2023,52
2024,null
