year,value
2010,49.8
2011,46.7
2012,74.5
2013,61.1
2014,87.2
2015,87.2
2016,74.6
2017,84.1
2018,63.1
2019,55.4
2020,36.9
2021,29.9
2022,52.3
2023,41.3
2024,93.2
