year,value
2010,1.9
2011,2.3
2012,2.8
2013,3.4
2014,2.8
2015,4.2
2016,3.7
2017,6.2
2018,8.9
2019,4.4
2020,6
2021,8
2022,5.2
2023,11.3
2024,2.9
