year,value
2010,57.2
2011,91.1
2012,66
2013,78.4
2014,70.2
2015,71.1
2016,75.5
2017,54.9
2018,92.4
2019,77.3
2020,37.1
2021,89.5
2022,66.3
2023,85.2
2024,65.7
