year,value
2010,14.2
2011,22.5
2012,17.4
2013,19.3
2014,17.4
2015,18.9
2016,22.1
2017,16.1
2018,24.4
2019,21
2020,12.5
2021,24.5
2022,21.6
2023,23.8
2024,20.4
