year,value
2010,51.3
2011,52.1
2012,56.5
2013,55.6
2014,45.2
2015,49.3
2016,57
2017,56.1
2018,59.3
2019,64
2020,61.7
2021,64.2
2022,86.2
2023,58
2024,58.2
