year,value
2010,19.2
2011,16.5
2012,19.9
2013,22.3
2014,20
2015,16.1
2016,18.4
2017,23.2
2018,23.3
2019,21
2020,20.5
2021,19.6
2022,19.4
2023,13.6
2024,16.2
