year,value
2010,5.9
2011,4.5
2012,3.9
2013,3.9
2014,2.3
2015,2.5
2016,2.3
2017,2
2018,1.9
2019,1.3
2020,1.5
2021,2
2022,1.4
2023,1.4
2024,1.2
