year,value
2010,83.3
2011,86.3
2012,103.9
2013,141.8
2014,137.4
2015,126.7
2016,126.1
2017,111.3
2018,126.2
2019,134.6
2020,159.6
2021,93.7
2022,101.3
2023,122.6
2024,115.6
