year,value
2010,40.9
2011,43.3
2012,46.1
2013,37.2
2014,40.8
2015,39.3
2016,42.7
2017,48.4
2018,54.5
2019,51.2
2020,59
2021,62.4
2022,48
2023,35.2
2024,38.8
