year,value
2010,6.4
2011,5.3
2012,5
2013,3.8
2014,5
2015,4.3
2016,4.1
2017,3.3
2018,4
2019,3.5
2020,2.7
2021,1.9
2022,2.2
2023,2.3
2024,2.7
