year,value
2010,5.9
2011,7.2
2012,9.8
2013,9.9
2014,11.7
2015,11.6
2016,15
2017,12.4
2018,16.1
2019,9.6
2020,14.5
2021,13.7
2022,10.1
2023,6.8
2024,6.4
