year,value
2010,10.9
2011,13.2
2012,14.2
2013,15.3
2014,14.7
2015,14
2016,17.8
2017,19
2018,16.8
2019,14.4
2020,17.8
2021,20.1
2022,14
2023,6.5
2024,8.9
