year,value
2010,63.7
2011,66.3
2012,63.5
2013,58.2
2014,56.3
2015,55.4
2016,54.2
2017,53.9
2018,54.2
2019,54.3
2020,54.3
2021,54.1
2022,54.2
2023,54.3
2024,null
