year,value
2010,146
2011,153
2012,156.2
2013,170
2014,189.6
2015,208.7
2016,218.8
2017,230.3
2018,230.5
2019,229.8
2020,274.5
2021,272.8
2022,278.4
2023,234.3
2024,222.6
